Date,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2018 00:00,234.6425,13.9,0,49.2,3.3
01/01/2018 01:00,229.0717,12.4,0,52.1,3.4
01/01/2018 02:00,223.3983,10.8,0,55.2,3.6
01/01/2018 03:00,215.7792,9.3,0,58.6,3.7
01/01/2018 04:00,211.4717,8.2,0,59.4,3.3
01/01/2018 05:00,210.0958,7.2,0,60.2,2.9
01/01/2018 06:00,208.7817,3.1,0,66.1,3.5
01/01/2018 07:00,205.0375,4.3,0,62.7,3.1
01/01/2018 08:00,201.77,5.3,0,59.8,3
01/01/2018 09:00,206.1792,7.4,0,54.9,3.3
01/01/2018 10:00,216.7625,8.2,0,52.3,2
01/01/2018 11:00,220.5767,11.8,0,43.8,1.8
01/01/2018 12:00,221.635,13.1,0,40.8,0.4
01/01/2018 13:00,224.4717,15.3,0,38.7,0.7
01/01/2018 14:00,218.6867,17.2,0,36.9,1.4
01/01/2018 15:00,212.52,18.5,0,35.9,2.5
01/01/2018 16:00,212.0733,19,0,34.5,3.3
01/01/2018 17:00,212.5475,18.6,0,34.3,3.7
01/01/2018 18:00,224.6808,16.2,0,37.1,3.4
01/01/2018 19:00,240.4675,12.2,0,42.1,1.9
01/01/2018 20:00,242.2758,11.3,0,41.4,1.2
01/01/2018 21:00,239.4842,8.5,0,44.7,3.4
01/01/2018 22:00,237.0175,7.8,0,45.8,2.9
01/01/2018 23:00,223.0842,7.1,0,47.1,2.4
02/01/2018 00:00,212.5683,6.4,0,48.3,1.9
02/01/2018 01:00,199.2575,6.2,0,49.1,1.6
02/01/2018 02:00,194.8567,6.1,0,49.9,1.4
02/01/2018 03:00,193.3058,6,0,50.7,1.1
02/01/2018 04:00,194.6167,6,0,51.2,1
02/01/2018 05:00,202.4258,6.1,0,51.8,0.9
02/01/2018 06:00,215.3575,1.9,0,62.2,0.9
02/01/2018 07:00,222.2567,2,0,65.6,0.3
02/01/2018 08:00,231.3592,2.6,0,67.4,0.7
02/01/2018 09:00,246.33,4.4,0,63.3,0
02/01/2018 10:00,256.7975,8.8,0,52.6,0.4
02/01/2018 11:00,256.8442,12.8,0,44.5,0.9
02/01/2018 12:00,264.6083,15.9,0,39.6,1.6
02/01/2018 13:00,268.115,18.5,0,36.5,2.1
02/01/2018 14:00,272.1592,19.3,0,35,2.5
02/01/2018 15:00,276.2917,20.3,0,33.4,1.7
02/01/2018 16:00,276.285,19.9,0,34.4,1.9
02/01/2018 17:00,280.2775,19.3,0,35.2,2.2
02/01/2018 18:00,292.0533,17.9,0,36.9,2.5
02/01/2018 19:00,304.9758,13.3,0,42.6,2
