fecha,dia_semana_num,pandemia,mes,horario_verano,hora,demanda,temperatura,precipitacion,humedad,velocidadviento,nubosidad
01/01/2020,3,1,1,0,1,979.9012523,45,0,62.5,2.8,0
01/01/2020,3,1,1,0,2,956.9350496,44,0,59.6,2.3,7.9
01/01/2020,3,1,1,0,3,932.8840732,44,0,56.4,1.7,16
01/01/2020,3,1,1,0,4,910.7994461,44,0,57.2,2.4,8.3
01/01/2020,3,1,1,0,5,892.6114923,45,0,59.1,3.7,0.2
01/01/2020,3,1,1,0,6,879.033235,43,0,65.2,3.5,15.7
01/01/2020,3,1,1,0,7,854.4024286,40,0,75.3,1.5,52.3
01/01/2020,3,1,1,0,8,818.7000367,41,0.43,76.9,0.3,79.8
01/01/2020,3,1,1,0,9,825.2549353,43,0,75.2,2.4,65.3
01/01/2020,3,1,1,0,10,841.5218738,51,0,66.5,2.8,23.1
01/01/2020,3,1,1,0,11,861.2877046,56,0,53.5,0.7,12.8
01/01/2020,3,1,1,0,12,872.1640167,60,0,44.1,0,22.9
01/01/2020,3,1,1,0,13,871.0630304,60,0,36.2,0.5,11.8
01/01/2020,3,1,1,0,14,866.5924272,65,0,29.9,1.8,19
01/01/2020,3,1,1,0,15,861.917553,65,0,27.8,1.8,46.4
01/01/2020,3,1,1,0,16,872.4150541,66,0,27.6,0.8,52
01/01/2020,3,1,1,0,17,908.7604038,65,0,29.7,3,56.8
01/01/2020,3,1,1,0,18,1038.987425,61,0,35.5,3.2,73.4
01/01/2020,3,1,1,0,19,1084.916575,58,0,42,0.9,72.4
01/01/2020,3,1,1,0,20,1096.444242,54,0,53,0.2,56.7
01/01/2020,3,1,1,0,21,1094.770894,52,0,60.1,3,54.1
01/01/2020,3,1,1,0,22,1068.255793,51,0,59,1.4,65.8
01/01/2020,3,1,1,0,23,1018.760583,46,0,65,1.4,68.7
01/01/2020,3,1,1,0,24,959.6831038,44,0,73.8,2.1,46.8
02/01/2020,4,1,1,0,1,921.2870508,48,0,78.2,2,16.2
02/01/2020,4,1,1,0,2,878.1830788,44,0,77.7,2.3,1.8
02/01/2020,4,1,1,0,3,857.4930258,45,0,77.6,1.1,0
02/01/2020,4,1,1,0,4,855.8638592,44,0,78.6,1.3,0
02/01/2020,4,1,1,0,5,873.527035,43,0,79.2,2.6,0
02/01/2020,4,1,1,0,6,912.5304692,43,0,76.9,2.7,0
02/01/2020,4,1,1,0,7,1005.553162,41,0,79.4,2.3,0
02/01/2020,4,1,1,0,8,1069.608205,42,0.6,78.3,0.3,0.3
02/01/2020,4,1,1,0,9,1124.318214,45,0,77.1,1,0.6
02/01/2020,4,1,1,0,10,1191.972991,54,0,71.9,2.4,0.3
02/01/2020,4,1,1,0,11,1228.008045,60,0,58.2,2,0
02/01/2020,4,1,1,0,12,1270.947943,66,0,41.1,2.5,0
02/01/2020,4,1,1,0,13,1258.4499,69,0,31.9,2.5,0
02/01/2020,4,1,1,0,14,1249.427617,70,0,27.9,2.4,0
02/01/2020,4,1,1,0,15,1263.929027,71,0,24.4,2.3,0
02/01/2020,4,1,1,0,16,1240.074512,72,0,21.7,2.7,0
02/01/2020,4,1,1,0,17,1339.103639,69,0,22.7,2.4,0
02/01/2020,4,1,1,0,18,1413.935238,59,0,30.1,1.9,0
02/01/2020,4,1,1,0,19,1492.878726,52,0,39.3,2.2,3.3
02/01/2020,4,1,1,0,20,1455.399502,52,0,42.1,1.4,7.6
02/01/2020,4,1,1,0,21,1353.00424,51,0,44.9,2.1,12.3
02/01/2020,4,1,1,0,22,1378.129606,50,0,43.3,2.2,34.7
02/01/2020,4,1,1,0,23,1261.040691,48,0,42.8,1.5,65.9
02/01/2020,4,1,1,0,24,1171.380503,48,0,44.2,2.4,73.1
02/01/2020,5,1,1,0,1,1102.563623,48,0,46.3,2.2,55.8
03/01/2020,5,1,1,0,2,1047.750724,47,0,48.5,1.7,34.3
03/01/2020,5,1,1,0,3,1010.329571,48,0,50.4,2.9,19.2
03/01/2020,5,1,1,0,4,984.0782812,45,0,53,3.2,10
03/01/2020,5,1,1,0,5,987.9244309,46,0,56.3,3.5,3.5
03/01/2020,5,1,1,0,6,1024.228151,45,0,53.6,2.9,0.4
03/01/2020,5,1,1,0,7,1070.295141,44,0,56,2.3,0
03/01/2020,5,1,1,0,8,1155.857975,50,0,60.6,2.6,0
03/01/2020,5,1,1,0,9,1195.273248,54,0,52.6,1.6,0
03/01/2020,5,1,1,0,10,1226.622697,58,0,43.4,0.4,0.2
03/01/2020,5,1,1,0,11,1251.765511,64,0,41.7,0.4,0.4
03/01/2020,5,1,1,0,12,1274.855433,69,0,36.5,0.4,0.3
03/01/2020,5,1,1,0,13,1283.828842,70,0,27.5,0.6,1.3
03/01/2020,5,1,1,0,14,1289.466037,69,0,24.1,0.9,13.6
03/01/2020,5,1,1,0,15,1285.796551,70,0,25,0.7,44.5
03/01/2020,5,1,1,0,16,1274.869836,70,0,26.1,0.6,77.8
03/01/2020,5,1,1,0,17,1279.799423,68,0,26,0.5,94.3
03/01/2020,5,1,1,0,18,1366.532312,64,0,28.2,0.3,97.7
03/01/2020,5,1,1,0,19,1380.51427,59,0,32.7,0.2,98.2
03/01/2020,5,1,1,0,20,1370.370078,57,0,43.4,0.6,97
03/01/2020,5,1,1,0,21,1355.091799,52,0,47.7,0.8,93.7
03/01/2020,5,1,1,0,22,1308.041454,50,0,48.8,1.9,89.7
03/01/2020,5,1,1,0,23,1253.028955,48,0,52.4,2.2,87.1
03/01/2020,5,1,1,0,24,1170.356843,48,0,54.8,0.7,90.1
03/01/2020,6,1,1,0,1,1105.613834,47,0,57.9,0,94.4
04/01/2020,6,1,1,0,2,1060.061544,45,0,60.6,0.6,95
04/01/2020,6,1,1,0,3,1020.627861,45,0,69.5,0.8,91.6
04/01/2020,6,1,1,0,4,1000.829642,43,0,72.9,0.7,66.1
04/01/2020,6,1,1,0,5,1001.295308,41,0,69,1.4,23.4
04/01/2020,6,1,1,0,6,1018.108783,42,0,74.7,2.4,1.6
04/01/2020,6,1,1,0,7,1042.024439,42,0,80.5,2.4,0
04/01/2020,6,1,1,0,8,1078.251402,47,0,80.1,2.7,0
04/01/2020,6,1,1,0,9,1130.409267,52,0,68.7,1.8,0
04/01/2020,6,1,1,0,10,1155.101848,54,0,54.5,0.5,0
04/01/2020,6,1,1,0,11,1149.050923,59,0,46.1,0.2,0
04/01/2020,6,1,1,0,12,1176.277624,64,0,39.3,0,0
04/01/2020,6,1,1,0,13,1186.062728,67,0,30.9,0,0
04/01/2020,6,1,1,0,14,1185.427126,69,0,28.4,0,2.5
04/01/2020,6,1,1,0,15,1172.117991,70,0,30.4,0.4,18.7
04/01/2020,6,1,1,0,16,1159.945847,70,0,30.8,0.3,50.8
04/01/2020,6,1,1,0,17,1182.30026,70,0,29.8,1.7,77.4
04/01/2020,6,1,1,0,18,1289.07127,65,0,36.5,2.2,86.1
04/01/2020,6,1,1,0,19,1310.275986,62,0,46.7,1,81
04/01/2020,6,1,1,0,20,1297.424068,58,0,54.4,0.7,61
04/01/2020,6,1,1,0,21,1278.174234,55,0,59.7,0.8,35.8
04/01/2020,6,1,1,0,22,1240.618373,47,0,64.4,1.6,19
04/01/2020,6,1,1,0,23,1184.510118,47,0,65.1,0.7,9.5
04/01/2020,6,1,1,0,24,1117.814562,45,0,71.5,1.7,18.6
04/01/2020,7,1,1,0,1,1058.839585,47,0,82.9,3.3,38.7
05/01/2020,7,1,1,0,2,1017.40223,45,0,79.2,2.8,32.7
05/01/2020,7,1,1,0,3,986.6751569,45,0,69.8,2,13.2
05/01/2020,7,1,1,0,4,965.962033,43,0,69.5,2.2,11.9
05/01/2020,7,1,1,0,5,964.490628,45,0,70.5,1.6,14.2
05/01/2020,7,1,1,0,6,969.2577481,43,0,70.7,1.9,18.4
05/01/2020,7,1,1,0,7,964.9382487,44,0,76.7,2.3,38.3
05/01/2020,7,1,1,0,8,967.346017,45,0,78.9,1.9,52.7
05/01/2020,7,1,1,0,9,998.7370218,52,0,82.7,2.2,49.4
05/01/2020,7,1,1,0,10,1029.478453,60,0,72,2.3,45.4
05/01/2020,7,1,1,0,11,1049.588773,65,0,55.8,2.1,50.3
05/01/2020,7,1,1,0,12,1060.494463,68,0,41.9,2.1,59.7
05/01/2020,7,1,1,0,13,1063.358628,70,0,32.4,2.1,61.4
05/01/2020,7,1,1,0,14,1070.958796,71,0,28.5,2,55.7
05/01/2020,7,1,1,0,15,1072.477471,72,0,28.4,2.5,54.8
05/01/2020,7,1,1,0,16,1074.671714,72,0,27.8,2.1,44.7
05/01/2020,7,1,1,0,17,1098.916074,65,0,27.3,1.5,19.3
05/01/2020,7,1,1,0,18,1215.95442,60,0,40.7,2.4,6.9
05/01/2020,7,1,1,0,19,1252.952044,55,0,57.6,1.4,8.3
05/01/2020,7,1,1,0,20,1256.537908,51,0,67.6,1.5,5.9
05/01/2020,7,1,1,0,21,1249.949366,52,0,76.9,2.2,3.5
05/01/2020,7,1,1,0,22,1212.989401,49,0,74,1,1.7
05/01/2020,7,1,1,0,23,1149.475161,50,0,73.9,1.3,0
05/01/2020,7,1,1,0,24,1081.942796,47,0,70.4,1.3,0.7
05/01/2020,1,1,1,0,1,1024.035339,45,0,67.1,2.1,7.3
06/01/2020,1,1,1,0,2,988.7811549,44,0,69.3,3.5,12.5
06/01/2020,1,1,1,0,3,969.7943938,42,0,73.8,3.8,14.6
06/01/2020,1,1,1,0,4,965.6389304,44,0,76.1,3.4,22.7
06/01/2020,1,1,1,0,5,988.2542791,42,0,76,3,19.6
06/01/2020,1,1,1,0,6,1044.632722,43,0,73.8,3.4,5.7
06/01/2020,1,1,1,0,7,1146.747234,43,0,67.5,3.5,0.2
06/01/2020,1,1,1,0,8,1232.308663,43,0,64.3,2.1,0
06/01/2020,1,1,1,0,9,1273.250719,45,0,74.6,2.6,0
06/01/2020,1,1,1,0,10,1315.945616,56,0,71.3,2.8,0
06/01/2020,1,1,1,0,11,1357.387446,64,0,40,3.3,0
06/01/2020,1,1,1,0,12,1383.505179,68,0,23.1,5.3,2.5
06/01/2020,1,1,1,0,13,1383.910538,70,0,16.6,6.3,14.4
06/01/2020,1,1,1,0,14,1393.700086,72,0,15.2,5.2,31.2
06/01/2020,1,1,1,0,15,1401.363238,73,0,14.1,4.2,36.9
06/01/2020,1,1,1,0,16,1396.65779,72,0,14.4,2.7,34.5
06/01/2020,1,1,1,0,17,1396.706079,72,0,15.6,1.9,34.9
06/01/2020,1,1,1,0,18,1475.84038,68,0,15.1,0.6,26.7
06/01/2020,1,1,1,0,19,1487.938297,64,0,16.6,0,9.4
06/01/2020,1,1,1,0,20,1467.532693,59,0,21.4,0,2.4
06/01/2020,1,1,1,0,21,1447.100781,55,0,26.8,0.4,4.1
06/01/2020,1,1,1,0,22,1401.778347,46,0,34.1,3.3,3.6
06/01/2020,1,1,1,0,23,1322.0456,49,0,33.1,3.4,1.2
06/01/2020,1,1,1,0,24,1235.270006,43,0,31.8,2.6,0
06/01/2020,2,1,1,0,1,1219.221134,43,0,40.6,2.6,6.1
07/01/2020,2,1,1,0,2,1169.786138,44,0,49.4,3.1,14.6
07/01/2020,2,1,1,0,3,1139.461034,43,0,46.1,2.6,11
07/01/2020,2,1,1,0,4,1129.74891,42,0,41.8,2.3,2.5
07/01/2020,2,1,1,0,5,1146.070734,41,0,46.1,1.9,0
07/01/2020,2,1,1,0,6,1181.682145,40,0,50.2,2.2,0
07/01/2020,2,1,1,0,7,1252.046423,40,0,49.8,2.6,15.2
07/01/2020,2,1,1,0,8,1332.155249,44,0,47.1,2.3,52.1
07/01/2020,2,1,1,0,9,1376.460898,52,0,47.1,1.8,72.2
07/01/2020,2,1,1,0,10,1409.450077,60,0,45.8,1.9,70.8
07/01/2020,2,1,1,0,11,1442.204604,65,0,37.6,1.8,79.3
07/01/2020,2,1,1,0,12,1427.806999,68,0,30.9,1.6,78.6
07/01/2020,2,1,1,0,13,1413.726917,70,0,22.7,1.6,66
07/01/2020,2,1,1,0,14,1416.610029,72,0,17.7,1.6,67.3
07/01/2020,2,1,1,0,15,1412.44986,72,0,14.8,2.6,65.9
07/01/2020,2,1,1,0,16,1399.543461,71,0,14.8,2.7,49.6
07/01/2020,2,1,1,0,17,1398.32923,67,0,17.6,2.2,35.5
07/01/2020,2,1,1,0,18,1475.371124,61,0,22.4,1.1,25.6
07/01/2020,2,1,1,0,19,1489.452397,54,0,28.8,1.2,11.8
07/01/2020,2,1,1,0,20,1472.450119,51,0,34.6,0.3,2.1
07/01/2020,2,1,1,0,21,1444.284859,49,0,37.1,0,0.1
07/01/2020,2,1,1,0,22,1378.506432,46,0,36,1,0
07/01/2020,2,1,1,0,23,1280.991208,47,0,35,1.6,0
07/01/2020,2,1,1,0,24,1225.795355,45,0,33.1,0.9,0
07/01/2020,3,1,1,0,1,1188.623687,44,0,35,0.8,0
08/01/2020,3,1,1,0,2,1138.796032,41,0,40.3,1.3,0.2
08/01/2020,3,1,1,0,3,1133.929242,41,0,48.4,2.4,2.3
08/01/2020,3,1,1,0,4,1135.42445,39,0,51.5,1.1,6.3
08/01/2020,3,1,1,0,5,1134.223745,39,0,62.4,1.8,12.3
08/01/2020,3,1,1,0,6,1181.689151,42,0,70.6,1.6,23.7
08/01/2020,3,1,1,0,7,1270.184081,39,0,62.9,1.9,44.2
08/01/2020,3,1,1,0,8,1334.328104,42,0,63.7,2.6,47.4
08/01/2020,3,1,1,0,9,1364.071491,39,0.43,55.4,3,18.8
08/01/2020,3,1,1,0,10,1386.136602,45,0,41.7,4.3,0
08/01/2020,3,1,1,0,11,1411.634253,55,0,38,5.1,0
08/01/2020,3,1,1,0,12,1432.410424,60,0,33.5,4.4,0
08/01/2020,3,1,1,0,13,1403.71934,63,0,26.1,3.9,0
08/01/2020,3,1,1,0,14,1408.899204,69,0,19.7,1.4,0
08/01/2020,3,1,1,0,15,1411.844015,71,0,15.8,0,0
08/01/2020,3,1,1,0,16,1416.58063,73,0,20.3,0.4,0
08/01/2020,3,1,1,0,17,1416.703736,72,0,22.9,3,0.2
08/01/2020,3,1,1,0,18,1508.682021,70,0,25.9,6,15.8
08/01/2020,3,1,1,0,19,1535.040425,65,0,32.6,6.8,41.4
08/01/2020,3,1,1,0,20,1531.238019,63,0,39.4,6.2,47.1
08/01/2020,3,1,1,0,21,1508.855229,62,0,45.3,4.6,32.5
08/01/2020,3,1,1,0,22,1451.130308,58,0,51.4,3.2,12.1
08/01/2020,3,1,1,0,23,1360.773428,55,0,54.3,4,2.4
08/01/2020,3,1,1,0,24,1277.359907,52,0,56.1,4.1,2.5
08/01/2020,4,1,1,0,1,1210.398835,50,0,61.4,4.2,2
09/01/2020,4,1,1,0,2,1160.297934,51,0,62.8,4.1,13.7
09/01/2020,4,1,1,0,3,1133.228712,54,0,61.1,3.9,33.5
09/01/2020,4,1,1,0,4,1122.596298,57,0,59.7,4.8,55.4
09/01/2020,4,1,1,0,5,1137.399839,55,0,55.9,6,81.3
09/01/2020,4,1,1,0,6,1184.648476,56,0,56.1,6,72.2
09/01/2020,4,1,1,0,7,1279.75891,55,0,56.2,6.6,27.2
09/01/2020,4,1,1,0,8,1321.457574,57,0,55.9,4.9,4.3
09/01/2020,4,1,1,0,9,1371.807131,61,0,55.3,4.3,7.4
09/01/2020,4,1,1,0,10,1400.189587,64,0,49.6,6.8,11.5
09/01/2020,4,1,1,0,11,1419.045401,66,0,42.2,10.1,16.5
09/01/2020,4,1,1,0,12,1430.875955,67,0,38.5,12.7,19.4
09/01/2020,4,1,1,0,13,1421.359225,68,0,35.3,12,19.1
09/01/2020,4,1,1,0,14,1431.606958,66,0,31.9,11.3,29.3
09/01/2020,4,1,1,0,15,1438.379623,66,0,32.8,12.4,44.6
09/01/2020,4,1,1,0,16,1426.786435,65,0,34.5,11.7,43.1
09/01/2020,4,1,1,0,17,1452.288287,63,0,35.6,9.5,32.5
09/01/2020,4,1,1,0,18,1542.595105,60,0,40.2,8.6,21.3
09/01/2020,4,1,1,0,19,1548.252858,58,0,45.9,8,11
09/01/2020,4,1,1,0,20,1538.431445,56,0,50.2,5.6,3.6
09/01/2020,4,1,1,0,21,1518.438443,52,0,51.9,3.4,0
09/01/2020,4,1,1,0,22,1456.523496,52,0,52.6,3.5,0
09/01/2020,4,1,1,0,23,1368.669377,53,0,54.5,3.8,0
09/01/2020,4,1,1,0,24,1284.980283,49,0,58.7,3.6,0
09/01/2020,5,1,1,0,1,1208.24002,49,0,63.6,2.6,0
10/01/2020,5,1,1,0,2,1159.901997,49,0,64.7,3.1,0
10/01/2020,5,1,1,0,3,1128.674454,47,0,65.2,4.5,0
10/01/2020,5,1,1,0,4,1121.446623,48,0,71.8,4.8,0
10/01/2020,5,1,1,0,5,1130.683619,45,0,72.4,3.7,0
10/01/2020,5,1,1,0,6,1175.253806,45,0,73.8,1.8,0
10/01/2020,5,1,1,0,7,1258.176502,46,0,69.3,2,0
10/01/2020,5,1,1,0,8,1311.84761,48,0,65.1,2.1,0
