fecha,dia_semana_num,pandemia,mes,horario_verano,hora,temperatura,precipitacion,humedad,velocidadviento,nubosidad,demanda
01/01/2020,3,1,1,0,1,45,0,62.5,2.8,0,979.9012523
01/01/2020,3,1,1,0,2,44,0,59.6,2.3,7.9,956.9350496
01/01/2020,3,1,1,0,3,44,0,56.4,1.7,16,932.8840732
01/01/2020,3,1,1,0,4,44,0,57.2,2.4,8.3,910.7994461
01/01/2020,3,1,1,0,5,45,0,59.1,3.7,0.2,892.6114923
01/01/2020,3,1,1,0,6,43,0,65.2,3.5,15.7,879.033235
01/01/2020,3,1,1,0,7,40,0,75.3,1.5,52.3,854.4024286
01/01/2020,3,1,1,0,8,41,0.43,76.9,0.3,79.8,818.7000367
01/01/2020,3,1,1,0,9,43,0,75.2,2.4,65.3,825.2549353
01/01/2020,3,1,1,0,10,51,0,66.5,2.8,23.1,841.5218738
01/01/2020,3,1,1,0,11,56,0,53.5,0.7,12.8,861.2877046
01/01/2020,3,1,1,0,12,60,0,44.1,0,22.9,872.1640167
01/01/2020,3,1,1,0,13,60,0,36.2,0.5,11.8,871.0630304
01/01/2020,3,1,1,0,14,65,0,29.9,1.8,19,866.5924272
01/01/2020,3,1,1,0,15,65,0,27.8,1.8,46.4,861.917553
01/01/2020,3,1,1,0,16,66,0,27.6,0.8,52,872.4150541
01/01/2020,3,1,1,0,17,65,0,29.7,3,56.8,908.7604038
01/01/2020,3,1,1,0,18,61,0,35.5,3.2,73.4,1038.987425
01/01/2020,3,1,1,0,19,58,0,42,0.9,72.4,1084.916575
01/01/2020,3,1,1,0,20,54,0,53,0.2,56.7,1096.444242
01/01/2020,3,1,1,0,21,52,0,60.1,3,54.1,1094.770894
01/01/2020,3,1,1,0,22,51,0,59,1.4,65.8,1068.255793
01/01/2020,3,1,1,0,23,46,0,65,1.4,68.7,1018.760583
01/01/2020,3,1,1,0,24,44,0,73.8,2.1,46.8,959.6831038
02/01/2020,4,1,1,0,1,48,0,78.2,2,16.2,921.2870508
02/01/2020,4,1,1,0,2,44,0,77.7,2.3,1.8,878.1830788
02/01/2020,4,1,1,0,3,45,0,77.6,1.1,0,857.4930258
02/01/2020,4,1,1,0,4,44,0,78.6,1.3,0,855.8638592
02/01/2020,4,1,1,0,5,43,0,79.2,2.6,0,873.527035
02/01/2020,4,1,1,0,6,43,0,76.9,2.7,0,912.5304692
02/01/2020,4,1,1,0,7,41,0,79.4,2.3,0,1005.553162
02/01/2020,4,1,1,0,8,42,0.6,78.3,0.3,0.3,1069.608205
02/01/2020,4,1,1,0,9,45,0,77.1,1,0.6,1124.318214
02/01/2020,4,1,1,0,10,54,0,71.9,2.4,0.3,1191.972991
02/01/2020,4,1,1,0,11,60,0,58.2,2,0,1228.008045
02/01/2020,4,1,1,0,12,66,0,41.1,2.5,0,1270.947943
02/01/2020,4,1,1,0,13,69,0,31.9,2.5,0,1258.4499
02/01/2020,4,1,1,0,14,70,0,27.9,2.4,0,1249.427617
